Station,Date,Layer1,Layer2,Layer3,Layer4
111,7/17/23,36.767,42.6,45.1,49.733
111,7/31/23,32.9,39.5,39.9,38.8
111,8/6/23,45,49.5,50.9,54.5
111,8/8/23,43.1,48.7,50.3,54.1
112,6/22/23,26.3,29.433,32.5,32.467
116,6/23/23,31.367,36.6,43.9,48.6
118,6/27/23,19.3,29.6,33.2,35.1
118,6/27/23,26.1,40.5,40.2,46.7
118,8/10/23,37.7,48.9,47.9,51.1
556,7/10/23,15.7,18.3,24.1,35.6
556,7/18/23,19.267,23.1,20.3,36.067
556,7/26/23,21.667,27.7,33.5,44.367
557,7/17/23,32.3,35.2,36.7,38.767
557,7/30/23,32.5,33.1,36.7,36.3
557,8/8/22,38.9,38.2,39.8,41.8
