Station,Date,Layer1,Layer2,Layer3,Layer4
111,2024-06-16,27.6,29.4,45.6,51.7
112,2024-05-29,29.6,33.0,43.6,49.1
113,2023-08-08,37.9,42.2,35.9,31.4
114,2023-08-19,37.28,45.0,42.96,43.26
115,2023-08-11,33.2,37.5,40.5,49.2
116,2023-08-13,51.4,53.8,55.7,58.8
118,2023-08-13,27.9,41.1,38.6,44.5
554,2024-06-06,32.8,47.7,46.3,44.6
555,2023-07-30,48.7,51.6,52.4,56.267
556,2024-06-02,20.8,30.2,30.9,37.6
557,2023-08-27,27.6,28.2,34.1,37.3
558,2024-06-02,22.95,37.8,30.5,29.1
629,2024-05-30,27.4,30.2,46.6,56.7
630,2024-05-29,32.5,26.9,41.3,42.1
2492,2023-07-01,25.9,40.0,30.2,25.3
