ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4,data_tem1,data_tem2,data_tem3,data_tem4,data_tem5,data_tem6,data_tem7,dev_eui
2024-02-27 15:38:41.192,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,17.2,23.7,27.3,28.9,10.5,8.5,8.5,8,6,6,6,a840415b7184c7c8
2024-02-27 15:38:51.201,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,17.2,23.7,27.3,28.9,10.5,8.5,8.5,8,6,6,6,a840415b7184c7c8
2024-02-27 16:09:01.781,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,17.4,23.9,27.5,29.2,11.5,8,8.5,7.5,6,6,6,a840415b7184c7c8
2024-02-27 16:39:01.494,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,17.5,24,27.7,29.5,12.5,8.5,8,7.5,6,6,6,a840415b7184c7c8
2024-02-27 17:09:01.414,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,17.7,24.2,27.9,29.7,12.5,9,8.5,7.5,6,6,6,a840415b7184c7c8
2024-02-27 17:39:01.740,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,17.8,24.3,28.1,30,13,9,8.5,7,6,6,6,a840415b7184c7c8
2024-02-27 18:09:01.670,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,17.9,24.4,28.2,30.2,13,9,8.5,7.5,6,6,6,a840415b7184c7c8
2024-02-27 18:39:01.647,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18,24.5,28.3,30.3,13.5,9.5,8.5,7.5,6,6,6,a840415b7184c7c8
2024-02-27 19:09:01.577,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18,24.6,28.5,30.5,13.5,9.5,8.5,7.5,6,6,6,a840415b7184c7c8
2024-02-27 19:39:01.252,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.1,24.7,28.6,30.7,13.5,10,9,7.5,6,6,6,a840415b7184c7c8
2024-02-27 20:09:01.550,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.1,24.8,28.7,30.8,13.5,10,9,8,6,6,6,a840415b7184c7c8
2024-02-27 21:09:00.599,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.3,25,28.9,31.1,14,10.5,9,8,6,6,6,a840415b7184c7c8
2024-02-27 21:39:01.126,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.3,25,29,31.3,14,10.5,9.5,7.5,6,6,6,a840415b7184c7c8
2024-02-27 22:09:00.799,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.3,25.1,29.1,31.4,13.5,10.5,9.5,8,6,6,6,a840415b7184c7c8
2024-02-27 22:39:01.069,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.3,25.2,29.1,31.5,13.5,10.5,9.5,8,6,6,6,a840415b7184c7c8
2024-02-27 23:09:01.352,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.4,25.2,29.3,31.7,13.5,10.5,9.5,8,6,6,6,a840415b7184c7c8
2024-02-27 23:39:01.318,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.4,25.3,29.4,31.8,13,10.5,9.5,8,6,6,6,a840415b7184c7c8
2024-02-28 00:09:00.685,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.4,25.4,29.5,31.9,12.5,10.5,10,8,6,6,6,a840415b7184c7c8
2024-02-28 00:39:01.267,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.4,25.4,29.6,32,12.5,10.5,10,8.5,6,6,6,a840415b7184c7c8
2024-02-28 01:09:01.207,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,18.4,25.5,29.6,32.1,12.5,10.5,10,8,6,6.5,6,a840415b7184c7c8
