Station,Date,Layer1,Layer2,Layer3,Layer4
111,2024-05-30,27.3,25.2,43.1,50.7
111,2024-06-18,24.8,27.9,44.8,51.7
112,2024-05-26,27.2,29.1,41.0,47.2
112,2024-05-29,29.6,33.0,43.6,49.1
113,2024-06-17,33.6,50.4,50.6,51.4
113,2024-07-01,34.5,43.4,46.2,49.6
115,2024-06-30,24.8,31.6,33.9,32.1
116,2024-06-22,14.1,22.5,37.8,49.6
554,2024-06-01,13.8,29.9,38.6,41.4
554,2024-06-06,32.8,47.7,46.3,44.6
554,2024-06-19,4.6,10.1,31.6,42.0
554,2024-06-26,7.9,8.8,24.7,35.4
556,2024-06-02,20.8,30.2,30.9,37.6
556,2024-06-17,17.7,24.9,25.6,36.6
556,2024-06-26,21.3,22.0,17.0,23.7
557,2024-06-16,37.2,38.0,44.3,49.5
558,2024-06-02,22.95,37.8,30.5,29.1
558,2024-06-19,16.1,20.4,23.3,31.4
558,2024-06-25,16.8,16.6,18.3,26.9
629,2024-05-30,27.4,30.2,46.6,56.7
629,2024-06-27,23.9,21.8,36.6,49.1
630,2024-05-29,32.5,26.9,41.3,42.1
630,2024-06-18,12.0,5.9,25.8,39.2
