Date,Station,Crop,Rootdpth(inch),Deficit(inch),sm_val1(%),sm_val2(%),sm_val3(%),sm_val4(%),fc_date,fc_val1(%),fc_val2(%),fc_val3(%),fc_val4(%)
2024-06-30 00:00:00,0111,Soybean,23.0476,0.53,22.0,25.0,43.3,49.8,2024-06-18,24.8,27.9,44.8,51.7
2024-06-30 00:00:00,0112,Soybean,23.0476,0.35,34.2,32.3,39.1,48.3,2024-05-29,29.6,33.0,43.6,49.1
2024-06-30 00:00:00,0113,Soybean,23.0476,0.66,39.7,44.4,46.7,50.0,2024-06-17,33.6,50.4,50.6,51.4
2024-06-30 00:00:00,0114,Soybean,23.0476,0.27,32.7,47.9,43.1,43.9,2023-08-19,37.28,45.0,42.96,43.26
2024-06-30 00:00:00,0115,Soybean,23.0476,0.0,24.8,31.6,33.9,32.1,2024-06-30,24.8,31.6,33.9,32.1
2024-06-30 00:00:00,0116,Soybean,23.0476,0.13,20.2,21.3,38.2,48.4,2024-06-22,14.1,22.5,37.8,49.6
2024-06-30 00:00:00,0554,Corn,24,0,11.7,18.7,38.0,41.8,2024-06-26,7.9,8.8,24.7,35.4
2024-06-30 00:00:00,0556,Corn,24,0,33.4,28.1,21.8,32.5,2024-06-26,21.3,22.0,17.0,23.7
2024-06-30 00:00:00,0557,Corn,24,0,52.0,46.6,50.6,51.6,2024-06-16,37.2,38.0,44.3,49.5
2024-06-30 00:00:00,0558,Corn,24,0,24.8,30.8,34.9,30.1,2024-06-25,16.8,16.6,18.3,26.9
2024-06-30 00:00:00,0629,Corn,24,6.45,3353.9,0.0,0.0,0.0,2024-06-27,23.9,21.8,36.6,49.1
2024-06-30 00:00:00,0630,Corn,24,0.38,33.4,16.4,26.2,32.9,2024-06-18,12.0,5.9,25.8,39.2
