Time (LST),AVG_WS (mps),precip (mm),SUM_SR (W/m²),AVG_Temp (°C),AVG_RH (%),SVP (kPa),VP (mb)
2024-05-11,4.9572,0.0,402.4,18.835,39.9135,2.1749,8.6807
2024-05-12,2.0927,0.0,347.75,18.2646,54.8267,2.0986,11.5058
2024-05-13,2.7284,0.0,245.9792,20.6958,55.8779,2.4409,13.6393
2024-05-14,2.1255,0.254,119.0833,17.9479,82.5225,2.0572,16.9769
2024-05-15,3.0466,5.842,168.0208,17.5021,85.4688,2.0003,17.0959
2024-05-16,1.7288,0.0,188.0833,17.225,79.6273,1.9655,15.651
2024-05-17,1.6055,0.0,278.6875,20.5875,76.9448,2.4247,18.6567
2024-05-18,1.4663,0.0,287.9167,22.6271,69.5354,2.7467,19.0992
2024-05-19,2.2411,0.762,263.6458,23.7,66.5073,2.9306,19.4907
2024-05-20,2.7735,0.0,317.0417,24.4771,62.7127,3.0704,19.2556
2024-05-21,2.893,0.0,393.9375,25.1479,60.5671,3.1958,19.356
2024-05-22,5.2756,0.0,339.375,24.6583,55.6621,3.1039,17.2768
2024-05-23,1.2315,0.0,66.2069,16.9172,69.2276,1.9276,13.3442
2024-05-24,,0.0,,,,,
2024-05-25,,0.0,,,,,
2024-05-26,,0.0,,,,,
2024-05-27,,0.0,,,,,
2024-05-28,,0.0,,,,,
2024-05-29,,0.0,,,,,
2024-05-30,0.5636,0.0,24.619,8.5548,82.0498,1.114,9.1402
2024-05-31,,0.0,,,,,
2024-06-01,,0.0,,,,,
2024-06-02,,0.0,,,,,
2024-06-03,,0.0,,,,,
2024-06-04,,0.0,,,,,
2024-06-05,,0.0,,,,,
2024-06-06,,0.0,,,,,
2024-06-07,,0.0,,,,,
2024-06-08,,0.0,,,,,
2024-06-09,,0.0,,,,,
2024-06-10,,0.0,,,,,
2024-06-11,,0.0,,,,,
2024-06-12,,0.0,,,,,
2024-06-13,,0.0,,,,,
2024-06-14,,0.0,,,,,
2024-06-15,,0.0,,,,,
2024-06-16,,0.0,,,,,
2024-06-17,,0.0,,,,,
2024-06-18,,0.0,,,,,
2024-06-19,,0.0,,,,,
2024-06-20,,0.0,,,,,
2024-06-21,,0.0,,,,,
2024-06-22,,0.0,,,,,
2024-06-23,,0.0,,,,,
2024-06-24,,0.0,,,,,
2024-06-25,,0.0,,,,,
2024-06-26,,0.0,,,,,
2024-06-27,,0.0,,,,,
2024-06-28,,0.0,,,,,
2024-06-29,,0.0,,,,,
2024-06-30,,0.0,,,,,
2024-07-01,,0.0,,,,,
2024-07-02,1.4194,0.0,0.0,15.7,79.4435,1.7837,14.1706
