Date,Station,Crop,Rootdpth(inch),Deficit(inch),sm_val1(%),sm_val2(%),sm_val3(%),sm_val4(%),fc_date,fc_val1(%),fc_val2(%),fc_val3(%),fc_val4(%)
2024-06-14 0:00,111,Soybean,32.5714,0.07,22.4,26.8,44.2,51.1,2024-05-30,27.3,25.2,43.1,50.7
2024-06-14 0:00,112,Soybean,32.5714,0.08,21.6,34.1,46.5,50.2,2024-05-29,29.6,33,43.6,49.1
2024-06-14 0:00,114,Soybean,32.5714,-3.82,21.7,45.2,50,47.6,2023-05-31,21.151,35.913,33.739,32.135
2024-06-14 0:00,116,Soybean,32.5714,1.45,17,31.7,41,47.8,2023-06-23,31.367,36.6,43.9,48.6
2024-06-14 0:00,554,Corn,39.2381,4.7,6.1,15.8,35.8,42,2024-06-06,32.8,47.7,46.3,44.6
2024-06-14 0:00,556,Corn,39.2381,1.19,12.7,22.8,26.2,37.7,2024-06-02,20.8,30.2,30.9,37.6
2024-06-14 0:00,557,Corn,39.2381,-2.22,24.3,36.5,45.9,48.5,2023-07-17,32.3,35.2,36.7,38.767
2024-06-14 0:00,558,Corn,39.2381,0.97,15.9,25.8,28.8,30.4,2024-06-02,22.95,37.8,30.5,29.1
2024-06-14 0:00,629,Corn,39.2381,1.77,14.8,21.8,38.5,56.6,2024-05-30,27.4,30.2,46.6,56.7
2024-06-14 0:00,630,Corn,39.2381,2.71,10.2,6.3,36.9,42.7,2024-05-29,32.5,26.9,41.3,42.1
