Sensor,fc1,fc2,fc3,fc4
111,31.3,39.9,39,36.3
112,37.8,43.4,43.5,44.3
113,26.6,38.5,37.7,34.9
114,37.4,45,42.9,43.2
115,31.2,37,40.2,47.8
116,46.5,52.7,55.1,58.5
117,33.03076923,40.21538462,39.17307692,40.32307692
118,22.2,37.5,37.1,40.7
120,33.03076923,40.21538462,39.17307692,40.32307692
554,41.4,46.6,47.9,47.4
555,43.7,46.8,45,46.4
556,23.3,29.1,34.8,44.7
557,29.2,35.7,36,40.9
558,36.9,44.1,48.1,46
629,33.99759615,41.48942308,41.32163462,42.71538462
630,33.99759615,41.48942308,41.32163462,42.71538462
2491,43.7,46.8,45,46.4
2492,26.7,40.3,30.5,25.3
