Time (LST),AVG_WS (mph),precip (mm),SUM_SR (W/m²),AVG_Temp (°C),AVG_RH (%),SVP (kPa),VP (mb)
2024-04-01,4.4856,16.51,59.9787,9.6608,92.4468,1.2003,11.0966
2024-04-02,5.1167,25.146,88.9167,10.4653,90.4583,1.2668,11.4591
2024-04-03,6.7959,4.064,112.6667,2.8403,87.0208,0.7492,6.5198
2024-04-04,5.7482,3.556,71.5833,3.4375,87.3958,0.7816,6.831
2024-04-05,4.3335,0.0,151.0208,4.7951,77.875,0.8599,6.6966
2024-04-06,1.7043,0.0,305.2083,6.3113,63.7292,0.9555,6.0891
2024-04-07,4.5402,4.826,126.4167,10.0197,61.875,1.2296,7.608
2024-04-08,2.9876,0.0,244.4468,15.727,56.1064,1.7868,10.0252
2024-04-09,3.1572,0.0,282.7083,16.4016,52.875,1.8655,9.8636
2024-04-10,2.4382,10.414,141.6875,13.2234,73.2708,1.5198,11.1357
2024-04-11,5.3943,16.51,51.5,10.7118,90.4167,1.2878,11.6437
2024-04-12,6.375,4.572,229.5625,11.2824,76.3958,1.3376,10.2184
2024-04-13,3.1414,0.0,314.4583,13.1678,55.6042,1.5143,8.4201
2024-04-14,5.4101,0.0,293.9167,20.9988,50.8125,2.4868,12.6362
2024-04-15,2.7297,0.0,315.4375,18.8634,57.4375,2.1787,12.5141
2024-04-16,4.6101,0.508,215.3542,20.7083,48.5833,2.4428,11.8679
2024-04-17,6.4662,1.016,165.2083,18.1829,67.5,2.0878,14.0929
2024-04-18,2.7344,11.176,193.375,14.5752,67.375,1.6593,11.1793
2024-04-19,5.0711,0.0,236.1667,9.9826,67.3333,1.2265,8.2587
2024-04-20,4.9929,0.0,254.1042,6.2153,54.5,0.9491,5.1728
2024-04-21,3.093,0.0,319.6042,6.706,52.4792,0.9818,5.1525
2024-04-22,3.0352,0.0,305.6042,10.8102,49.3333,1.2962,6.3948
2024-04-23,4.3596,30.48,46.0,10.9838,75.4583,1.3113,9.8949
2024-04-24,4.286,0.0,203.7292,6.2836,80.7292,0.9536,7.6985
2024-04-25,2.7456,0.0,326.25,7.4549,68.4792,1.0336,7.0779
2024-04-26,4.0383,6.35,143.2292,12.2025,68.875,1.4214,9.7899
2024-04-27,5.1018,5.588,212.125,20.0058,76.4792,2.3391,17.8894
2024-04-28,5.1447,1.27,218.2708,21.5417,68.125,2.571,17.5147
2024-04-29,3.3649,6.604,71.1875,17.7049,84.9792,2.026,17.2168
2024-04-30,1.9968,0.0,340.6875,17.7917,69.6042,2.0371,14.1791
2024-05-01,3.1675,0.0,323.9167,19.9225,58.3125,2.3271,13.5698
2024-05-02,2.8992,0.0,286.9375,21.7558,56.5417,2.6048,14.7281
2024-05-03,2.984,0.508,237.125,19.7755,72.6667,2.306,16.7568
2024-05-04,1.966,0.762,314.3333,20.7222,64.9583,2.4449,15.8816
2024-05-05,3.0771,0.0,290.9583,16.3495,72.375,1.8593,13.4565
2024-05-06,3.4487,0.0,267.6042,18.0023,69.5208,2.0643,14.3511
2024-05-07,3.8995,3.81,211.2708,20.5405,69.8125,2.4177,16.8784
2024-05-08,1.8301,0.0,245.1875,20.6551,59.5625,2.4348,14.5023
2024-05-09,3.5447,5.588,51.4167,15.0174,88.7917,1.7073,15.159
2024-05-10,2.6916,0.0,258.5625,14.1146,72.7708,1.6105,11.72
2024-05-11,5.1549,1.016,335.5833,16.2708,57.1458,1.85,10.5719
2024-05-12,2.4876,0.0,347.75,18.603,53.8125,2.1436,11.535
2024-05-13,3.2271,0.0,245.9792,20.6273,57.2083,2.4306,13.9053
2024-05-14,2.3507,0.254,119.0833,17.9051,83.0417,2.0517,17.0377
2024-05-15,3.5093,5.842,168.0208,17.3889,84.875,1.986,16.8562
2024-05-16,1.9577,0.0,188.0833,17.3981,80.0,1.9872,15.8973
2024-05-17,1.8589,0.0,278.6875,20.6389,76.625,2.4324,18.6381
2024-05-18,1.6866,0.0,287.9167,22.6481,69.3542,2.7502,19.0738
2024-05-19,2.5593,0.762,263.6458,23.7095,67.0417,2.9323,19.6585
2024-05-20,3.2131,0.0,317.0417,24.5949,61.6667,3.0921,19.0682
2024-05-21,4.2441,0.0,315.4792,25.8669,57.7083,3.3351,19.2462
2024-05-22,5.0376,0.0,339.375,22.7743,56.3333,2.7713,15.6117
2024-05-23,1.7574,0.0,356.7083,21.2535,55.4167,2.526,13.9982
2024-05-24,3.1339,14.986,190.7292,20.8877,78.625,2.4699,19.4196
2024-05-25,2.3125,0.0,359.1042,20.5405,61.0208,2.4177,14.7528
2024-05-26,2.9821,18.034,141.75,19.7488,72.0417,2.3022,16.5852
2024-05-27,4.8159,2.286,178.625,18.6273,73.125,2.1468,15.6986
2024-05-28,3.5791,0.508,300.0625,17.5729,69.6667,2.0092,13.9975
2024-05-29,4.1547,0.0,321.9167,16.6076,66.1875,1.8901,12.5099
2024-05-30,1.4762,0.0,386.8333,17.0579,51.4375,1.9448,10.0038
2024-05-31,2.7446,0.0,336.25,20.1076,46.9167,2.3539,11.0437
2024-06-01,2.9439,5.842,101.7708,18.7083,72.4375,2.1577,15.63
2024-06-02,1.7844,0.254,220.0417,19.8762,82.3333,2.3204,19.1048
2024-06-03,1.9707,0.0,342.4583,22.8183,68.7708,2.7787,19.1094
2024-06-04,2.5435,0.0,269.75,24.7118,65.7292,3.1138,20.4668
2024-06-05,3.3118,10.414,146.4167,22.2106,81.375,2.6781,21.7928
2024-06-06,4.5412,0.0,366.25,22.0463,52.7292,2.6514,13.9806
2024-06-07,4.3726,0.0,371.9583,20.7894,48.1042,2.455,11.8096
2024-06-08,2.8992,0.0,208.875,19.9826,63.9792,2.3358,14.9441
2024-06-09,4.1249,0.0,343.6667,19.941,54.3333,2.3298,12.6583
2024-06-10,3.6247,0.0,259.4167,15.2245,59.3333,1.7302,10.2656
2024-06-11,1.4296,0.0,386.5833,17.0822,49.8125,1.9478,9.7027
2024-06-12,3.4077,0.0,345.4792,23.1574,47.6667,2.8363,13.5197
2024-06-13,3.9079,14.478,351.875,25.456,54.3542,3.2548,17.6915
2024-06-14,2.1924,4.572,381.7083,23.9074,66.7917,2.9674,19.8196
2024-06-15,2.1952,0.0,357.625,23.2269,55.9792,2.8482,15.9441
2024-06-16,3.3779,0.0,356.2708,26.6921,51.0625,3.5014,17.8793
2024-06-17,2.8417,0.0,382.6,27.6037,69.1667,3.6936,25.5473
