date_time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,precip_accum_since_local_midnight_set_1,wind_direction_set_1,wind_speed_set_1,pressure_set_1d,sea_level_pressure_set_1d,wet_bulb_temp_set_1d,wind_cardinal_direction_set_1d,wind_chill_set_1d,dew_point_temperature_set_1d,heat_index_set_1d
position,elevation,altimeter,air_temp,relative_humidity,precip_accum_since_local_midnight,wind_direction,wind_speed,pressure,sea_level_pressure,wet_bulb_temp,wind_chill,dew_point_temperature,heat_index
ft,ft,INHG,Fahrenheit,%,Inches,Degrees,knots,Millibars,Millibars,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit
2023-12-31 15:00,29.88,31.0,92.0,0.01,207.0,3.48,981.17,1013.41,30.24,SSW,,28.92,
2023-12-31 15:15,29.88,31.0,92.0,0.01,248.0,3.48,981.17,1013.41,30.24,WSW,,28.92,
2023-12-31 15:46,29.9,32.0,91.0,0.01,297.0,2.61,981.83,1014.03,31.12,WNW,,29.64,
2023-12-31 16:00,29.9,31.0,90.0,0.01,269.0,3.48,981.83,1014.09,30.04,W,,28.38,
2023-12-31 16:15,29.91,31.0,91.0,0.01,230.0,2.61,982.16,1014.43,30.13,SW,,28.65,
2023-12-31 16:31,29.91,31.0,91.0,0.01,203.0,1.74,982.16,1014.43,30.13,SSW,,28.65,
2023-12-31 16:46,29.92,31.0,92.0,0.01,257.0,2.61,982.49,1014.77,30.24,WSW,,28.92,
2023-12-31 17:00,29.93,31.0,92.0,0.01,236.0,2.61,982.82,1015.11,30.24,SW,,28.92,
2023-12-31 17:15,29.93,31.0,93.0,0.01,256.0,2.61,982.82,1015.11,30.34,WSW,,29.19,
2023-12-31 17:30,29.94,31.0,93.0,0.01,256.0,2.61,983.14,1015.45,30.34,WSW,,29.19,
2023-12-31 17:45,29.94,31.0,93.0,0.01,244.0,2.61,983.14,1015.45,30.34,WSW,,29.19,
2023-12-31 18:00,29.95,31.0,93.0,0.01,180.0,2.61,983.47,1015.79,30.34,S,,29.19,
2023-12-31 18:15,29.95,31.0,93.0,0.01,263.0,2.61,983.47,1015.79,30.34,W,,29.19,
2023-12-31 18:30,29.96,31.0,93.0,0.01,258.0,3.48,983.8,1016.13,30.34,WSW,,29.19,
2023-12-31 18:45,29.96,31.0,93.0,0.01,250.0,3.48,983.8,1016.13,30.34,WSW,,29.19,
2023-12-31 19:00,29.96,31.0,93.0,0.01,279.0,3.48,983.8,1016.13,30.34,W,,29.19,
2023-12-31 19:15,29.97,31.0,94.0,0.01,269.0,2.61,984.13,1016.47,30.43,W,,29.44,
2023-12-31 19:30,29.97,31.0,93.0,0.01,268.0,3.48,984.13,1016.47,30.34,W,,29.19,
2023-12-31 19:45,29.98,31.0,93.0,0.01,261.0,2.61,984.46,1016.81,30.34,W,,29.19,
2023-12-31 20:00,29.98,31.0,93.0,0.01,248.0,2.61,984.46,1016.81,30.34,WSW,,29.19,
2023-12-31 20:16,29.98,31.0,93.0,0.01,244.0,2.61,984.46,1016.81,30.34,WSW,,29.19,
2023-12-31 20:30,29.99,31.0,93.0,0.01,263.0,1.74,984.79,1017.15,30.34,W,,29.19,
2023-12-31 20:45,29.99,31.0,93.0,0.01,232.0,1.74,984.79,1017.15,30.34,SW,,29.19,
2023-12-31 21:00,30.0,30.0,93.0,0.01,246.0,1.74,985.11,1017.55,29.35,WSW,,28.2,
2023-12-31 21:15,30.0,31.0,93.0,0.01,273.0,0.87,985.11,1017.48,30.34,W,,29.19,
2023-12-31 21:30,30.0,31.0,93.0,0.01,273.0,0.87,985.11,1017.48,30.34,W,,29.19,
2023-12-31 21:45,30.01,31.0,93.0,0.01,252.0,0.87,985.44,1017.82,30.34,WSW,,29.19,
2023-12-31 22:00,30.01,31.0,94.0,0.01,218.0,0.87,985.44,1017.82,30.43,SW,,29.44,
2023-12-31 22:15,30.01,31.0,94.0,0.01,217.0,0.87,985.44,1017.82,30.43,SW,,29.44,
2023-12-31 22:30,30.01,31.0,94.0,0.01,215.0,0.87,985.44,1017.82,30.43,SW,,29.44,
2023-12-31 22:45,30.01,31.0,94.0,0.01,215.0,0.87,985.44,1017.82,30.43,SW,,29.44,
2023-12-31 23:00,30.01,31.0,94.0,0.01,259.0,0.87,985.44,1017.82,30.43,W,,29.44,
2023-12-31 23:15,30.02,31.0,94.0,0.01,259.0,0.87,985.77,1018.16,30.43,W,,29.44,
2023-12-31 23:30,30.03,31.0,94.0,0.01,259.0,0.87,986.1,1018.5,30.43,W,,29.44,
2023-12-31 23:45,30.03,31.0,94.0,0.01,,0.0,986.1,1018.5,30.43,,,29.44,
2024-01-01 00:00,30.04,31.0,94.0,0.01,259.0,0.87,986.43,1018.84,30.43,W,,29.44,
2024-01-01 00:15,30.04,31.0,94.0,0.01,259.0,0.87,986.43,1018.84,30.43,W,,29.44,
2024-01-01 00:30,30.04,31.0,94.0,0.01,265.0,1.74,986.43,1018.84,30.43,W,,29.44,
2024-01-01 00:45,30.04,31.0,94.0,0.01,272.0,0.87,986.43,1018.84,30.43,W,,29.44,
2024-01-01 01:00,30.05,31.0,94.0,0.0,271.0,0.87,986.76,1019.18,30.43,W,,29.44,
2024-01-01 01:15,30.05,31.0,95.0,0.0,275.0,0.87,986.76,1019.18,30.54,W,,29.71,
2024-01-01 01:30,30.06,31.0,95.0,0.0,,0.0,987.09,1019.52,30.54,,,29.71,
2024-01-01 01:45,30.06,32.0,95.0,0.0,,0.0,987.09,1019.45,31.53,,,30.7,
2024-01-01 02:00,30.07,32.0,95.0,0.0,281.0,0.87,987.41,1019.79,31.53,W,,30.7,
2024-01-01 02:16,30.07,32.0,95.0,0.0,279.0,0.87,987.41,1019.79,31.53,W,,30.7,
2024-01-01 02:30,30.08,32.0,95.0,0.0,,0.0,987.74,1020.13,31.53,,,30.7,
2024-01-01 02:45,30.09,32.0,95.0,0.0,,0.0,988.07,1020.47,31.53,,,30.7,
2024-01-01 03:00,30.09,32.0,95.0,0.0,,0.0,988.07,1020.47,31.53,,,30.7,
2024-01-01 03:15,30.1,32.0,95.0,0.0,,0.0,988.4,1020.81,31.53,,,30.7,
2024-01-01 03:30,30.1,32.0,95.0,0.0,,0.0,988.4,1020.81,31.53,,,30.7,
2024-01-01 03:45,30.1,33.0,96.0,0.0,309.0,0.87,988.4,1020.74,32.63,NW,,31.96,
2024-01-01 04:00,30.11,33.0,95.0,0.0,355.0,1.74,988.73,1021.08,32.52,N,,31.71,
2024-01-01 04:15,30.11,33.0,95.0,0.0,11.0,0.87,988.73,1021.08,32.52,N,,31.71,
2024-01-01 04:30,30.11,33.0,95.0,0.0,11.0,0.87,988.73,1021.08,32.52,N,,31.71,
2024-01-01 04:45,30.11,33.0,95.0,0.0,5.0,1.74,988.73,1021.08,32.52,N,,31.71,
2024-01-01 05:00,30.12,33.0,95.0,0.0,5.0,0.87,989.06,1021.42,32.52,N,,31.71,
2024-01-01 05:15,30.12,33.0,94.0,0.0,44.0,1.74,989.06,1021.42,32.41,NE,,31.44,
2024-01-01 05:30,30.13,33.0,94.0,0.0,338.0,1.74,989.38,1021.76,32.41,NNW,,31.44,
2024-01-01 05:46,30.14,33.0,94.0,0.0,38.0,0.87,989.71,1022.1,32.41,NE,,31.44,
2024-01-01 06:00,30.14,33.0,93.0,0.0,5.0,0.87,989.71,1022.1,32.31,N,,31.17,
2024-01-01 06:16,30.15,32.0,92.0,0.0,20.0,1.74,990.04,1022.5,31.23,NNE,,29.91,
2024-01-01 06:30,30.16,32.0,92.0,0.0,0.0,1.74,990.37,1022.84,31.23,N,,29.91,
2024-01-01 06:45,30.17,32.0,92.0,0.0,15.0,1.74,990.7,1023.18,31.23,NNE,,29.91,
2024-01-01 07:00,30.17,32.0,91.0,0.0,19.0,1.74,990.7,1023.18,31.12,NNE,,29.64,
2024-01-01 07:15,30.18,32.0,91.0,0.0,13.0,0.87,991.03,1023.52,31.12,NNE,,29.64,
2024-01-01 07:30,30.19,32.0,91.0,0.0,338.0,1.74,991.35,1023.86,31.12,NNW,,29.64,
2024-01-01 07:45,30.19,32.0,91.0,0.0,345.0,1.74,991.35,1023.86,31.12,NNW,,29.64,
2024-01-01 08:00,30.19,32.0,90.0,0.01,30.0,1.74,991.35,1023.86,31.01,NNE,,29.35,
2024-01-01 08:15,30.2,32.0,90.0,0.01,339.0,1.74,991.68,1024.2,31.01,NNW,,29.35,
2024-01-01 08:30,30.21,32.0,90.0,0.01,5.0,1.74,992.01,1024.54,31.01,N,,29.35,
2024-01-01 08:45,30.21,32.0,90.0,0.01,9.0,1.74,992.01,1024.54,31.01,N,,29.35,
2024-01-01 09:00,30.22,32.0,90.0,0.01,48.0,1.74,992.34,1024.88,31.01,NE,,29.35,
2024-01-01 09:15,30.22,32.0,91.0,0.01,34.0,1.74,992.34,1024.88,31.12,NE,,29.64,
2024-01-01 09:30,30.23,32.0,91.0,0.01,5.0,1.74,992.67,1025.22,31.12,N,,29.64,
2024-01-01 09:45,30.24,32.0,91.0,0.01,355.0,1.74,993.0,1025.56,31.12,N,,29.64,
2024-01-01 10:00,30.24,32.0,91.0,0.01,5.0,1.74,993.0,1025.56,31.12,N,,29.64,
