date_time,cloud_layer_1_code_set_1,metar_set_1,cloud_layer_2_code_set_1,visibility_set_1,altimeter_set_1,air_temp_set_1,ceiling_set_1,relative_humidity_set_1,dew_point_temperature_set_1,wind_direction_set_1,wind_speed_set_1,metar_origin_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,wind_gust_set_1,precip_accum_one_hour_set_1,pressure_set_1d,sea_level_pressure_set_1d,wet_bulb_temp_set_1d,wind_cardinal_direction_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,wind_chill_set_1d,dew_point_temperature_set_1d,heat_index_set_1d
position,elevation,cloud_layer_1_code,metar,cloud_layer_2_code,visibility,altimeter,air_temp,ceiling,relative_humidity,dew_point_temperature,wind_direction,wind_speed,metar_origin,weather_cond_code,cloud_layer_3_code,wind_gust,precip_accum_one_hour,pressure,sea_level_pressure,wet_bulb_temp,cloud_layer_1,cloud_layer_2,cloud_layer_3,wind_chill,heat_index
ft,ft,code,text,code,Statute miles,INHG,Fahrenheit,Feet,%,Fahrenheit,Degrees,knots,code,code,code,knots,Inches,Millibars,Millibars,Fahrenheit,ft,ft,ft,Fahrenheit,Fahrenheit
2023-12-31 15:15,123.0,KASW 312015Z AUTO 27007KT 10SM BKN012 OVC019 00/M01 A2989 RMK AO2  T00001018,194.0,10.0,29.89,32.0,1200.0,87.65,28.76,270.0,7.0,1.0,,,,,981.47,1013.69,30.76,W,,overcast,"{'sky_condition': 'broken', 'height_agl': 1200}","{'sky_condition': 'overcast', 'height_agl': 1900}",,24.82,28.71,
2023-12-31 15:35,143.0,KASW 312035Z AUTO 26007KT 10SM BKN014 OVC021 00/M02 A2989 RMK AO2  T00001020,214.0,10.0,29.89,32.0,1400.0,86.37,28.4,260.0,7.0,1.0,,,,,981.47,1013.69,30.63,W,,overcast,"{'sky_condition': 'broken', 'height_agl': 1400}","{'sky_condition': 'overcast', 'height_agl': 2100}",,24.82,28.35,
2023-12-31 15:55,143.0,KASW 312055Z AUTO 26007KT 10SM -SN BKN014 OVC021 00/M02 A2990 RMK AO2 T00001021,214.0,10.0,29.9,32.0,1400.0,85.73,28.22,260.0,7.0,1.0,20.0,,,,981.8,1014.03,30.56,W,light snow,light snow,"{'sky_condition': 'broken', 'height_agl': 1400}","{'sky_condition': 'overcast', 'height_agl': 2100}",,24.82,28.17,
2023-12-31 16:15,162.0,KASW 312115Z AUTO 26006KT 5SM -SN SCT016 BKN023 OVC029 00/M02  A2991 RMK AO2 T00001019,233.0,5.0,29.91,32.0,2300.0,87.01,28.58,260.0,6.0,1.0,20.0,294.0,,,982.12,1014.37,30.7,W,light snow,light snow,"{'sky_condition': 'scattered', 'height_agl': 1600}","{'sky_condition': 'broken', 'height_agl': 2300}","{'sky_condition': 'overcast', 'height_agl': 2900}",25.56,28.53,
2023-12-31 16:35,63.0,KASW 312135Z AUTO 25008KT 2SM -SN BKN006 OVC012 00/M01 A2992 RMK AO2 T10011015,124.0,2.0,29.92,31.82,600.0,90.27,29.3,250.0,8.0,1.0,20.0,,,,982.45,1014.72,30.87,WSW,light snow,light snow,"{'sky_condition': 'broken', 'height_agl': 600}","{'sky_condition': 'overcast', 'height_agl': 1200}",,23.92,29.26,
2023-12-31 16:55,64.0,KASW 312155Z AUTO 26006KT 2SM -SN OVC006 00/M01 A2992 RMK AO2  T10021012,,2.0,29.92,31.64,600.0,92.95,29.84,260.0,6.0,1.0,20.0,,,,982.45,1014.73,30.96,W,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 600}",,,25.12,29.8,
2023-12-31 17:15,84.0,KASW 312215Z AUTO 26006KT 3SM -SN OVC008 00/M01 A2993 RMK AO2  T10031012,,3.0,29.93,31.46,800.0,93.63,29.84,260.0,6.0,1.0,20.0,,,,982.78,1015.08,30.85,W,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 800}",,,24.91,29.8,
2023-12-31 17:35,84.0,KASW 312235Z AUTO 25005KT 7SM -SN OVC008 00/M01 A2994 RMK AO2  T10031012,,7.0,29.94,31.46,800.0,93.63,29.84,250.0,5.0,1.0,20.0,,,,983.11,1015.42,30.85,WSW,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 800}",,,25.79,29.8,
2023-12-31 17:55,83.0,KASW 312255Z AUTO 25005KT 7SM -SN BKN008 OVC011 00/M01 A2994 RMK AO2 T10031013,114.0,7.0,29.94,31.46,800.0,92.95,29.66,250.0,5.0,1.0,20.0,,,,983.11,1015.42,30.79,WSW,light snow,light snow,"{'sky_condition': 'broken', 'height_agl': 800}","{'sky_condition': 'overcast', 'height_agl': 1100}",,25.79,29.62,
2023-12-31 18:15,84.0,KASW 312315Z AUTO 24005KT 5SM -SN OVC008 00/M01 A2995 RMK AO2  T10021013,,5.0,29.95,31.64,800.0,92.27,29.66,240.0,5.0,1.0,20.0,,,,983.44,1015.75,30.88,WSW,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 800}",,,26.01,29.62,
2023-12-31 18:35,83.0,KASW 312335Z AUTO 26006KT 4SM -SN BKN008 BKN012 OVC023 00/M01  A2996 RMK AO2 T10021014,123.0,4.0,29.96,31.64,800.0,91.6,29.48,260.0,6.0,1.0,20.0,234.0,,,983.77,1016.09,30.83,W,light snow,light snow,"{'sky_condition': 'broken', 'height_agl': 800}","{'sky_condition': 'broken', 'height_agl': 1200}","{'sky_condition': 'overcast', 'height_agl': 2300}",25.12,29.44,
2023-12-31 18:55,103.0,KASW 312355Z AUTO 24004KT 3SM -SN BKN010 OVC017 00/M01 A2996 RMK AO2 T10031015,174.0,3.0,29.96,31.46,1000.0,91.59,29.3,240.0,4.0,1.0,20.0,,,,983.77,1016.1,30.65,WSW,light snow,light snow,"{'sky_condition': 'broken', 'height_agl': 1000}","{'sky_condition': 'overcast', 'height_agl': 1700}",,,29.26,
2023-12-31 19:15,83.0,KASW 010015Z AUTO 24008KT 7SM -SN BKN008 OVC013 00/M01 A2996 RMK AO2 T10031015,134.0,7.0,29.96,31.46,800.0,91.59,29.3,240.0,8.0,1.0,20.0,,,,983.77,1016.1,30.65,WSW,light snow,light snow,"{'sky_condition': 'broken', 'height_agl': 800}","{'sky_condition': 'overcast', 'height_agl': 1300}",,23.49,29.26,
2023-12-31 19:35,82.0,KASW 010035Z AUTO 25008KT 4SM -SN SCT008 OVC013 00/M01 A2997 RMK AO2 T10031015,134.0,4.0,29.97,31.46,1300.0,91.59,29.3,250.0,8.0,1.0,20.0,,,,984.09,1016.44,30.65,WSW,light snow,light snow,"{'sky_condition': 'scattered', 'height_agl': 800}","{'sky_condition': 'overcast', 'height_agl': 1300}",,23.49,29.26,
2023-12-31 19:55,134.0,KASW 010055Z AUTO 25007KT 4SM -SN OVC013 00/M01 A2998 RMK AO2  T10041016,,4.0,29.98,31.28,1300.0,91.58,29.12,250.0,7.0,1.0,20.0,,,,984.42,1016.79,30.47,WSW,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 1300}",,,23.94,29.08,
2023-12-31 20:15,114.0,KASW 010115Z AUTO 25005KT 5SM -SN OVC011 00/M01 A2999 RMK AO2  T10041016,,5.0,29.99,31.28,1100.0,91.58,29.12,250.0,5.0,1.0,20.0,,,,984.75,1017.13,30.47,WSW,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 1100}",,,25.57,29.08,
2023-12-31 20:35,114.0,KASW 010135Z AUTO 25003KT 3SM -SN OVC011 00/M01 A2999 RMK AO2  T10051016,,3.0,29.99,31.1,1100.0,92.25,29.12,250.0,3.0,1.0,20.0,,,,984.75,1017.14,30.36,WSW,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 1100}",,,,29.08,
2023-12-31 20:55,94.0,KASW 010155Z AUTO 25003KT 4SM -SN OVC009 00/M01 A2999 RMK AO2  T10051015,,4.0,29.99,31.1,900.0,92.94,29.3,250.0,3.0,1.0,20.0,,,,984.75,1017.14,30.43,WSW,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 900}",,,,29.26,
2023-12-31 21:15,74.0,KASW 010215Z AUTO 25003KT 7SM -SN OVC007 00/M01 A3000 RMK AO2  T10051015,,7.0,30.0,31.1,700.0,92.94,29.3,250.0,3.0,1.0,20.0,,,,985.08,1017.48,30.43,WSW,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 700}",,,,29.26,
2023-12-31 21:35,74.0,KASW 010235Z AUTO 25003KT 10SM OVC007 00/M01 A3000 RMK AO2  T10051015,,10.0,30.0,31.1,700.0,92.94,29.3,250.0,3.0,1.0,,,,,985.08,1017.48,30.43,WSW,,overcast,"{'sky_condition': 'overcast', 'height_agl': 700}",,,,29.26,
2023-12-31 21:55,74.0,KASW 010255Z AUTO 00000KT 10SM -SN OVC007 00/M01 A3001 RMK AO2  T10051015,,10.0,30.01,31.1,700.0,92.94,29.3,0.0,0.0,1.0,20.0,,,,985.41,1017.82,30.43,N,light snow,light snow,"{'sky_condition': 'overcast', 'height_agl': 700}",,,,29.26,
2023-12-31 22:15,74.0,KASW 010315Z AUTO 25003KT 10SM OVC007 00/M01 A3001 RMK AO2  T10031013,,10.0,30.01,31.46,700.0,92.95,29.66,250.0,3.0,1.0,,,,,985.41,1017.79,30.79,WSW,,overcast,"{'sky_condition': 'overcast', 'height_agl': 700}",,,,29.62,
2023-12-31 22:35,74.0,KASW 010335Z AUTO 23003KT 10SM OVC007 00/M01 A3001 RMK AO2  T10031013,,10.0,30.01,31.46,700.0,92.95,29.66,230.0,3.0,1.0,,,,,985.41,1017.79,30.79,SW,,overcast,"{'sky_condition': 'overcast', 'height_agl': 700}",,,,29.62,
2023-12-31 22:55,74.0,KASW 010355Z AUTO 27003KT 10SM OVC007 00/M01 A3001 RMK AO2  T10031012,,10.0,30.01,31.46,700.0,93.63,29.84,270.0,3.0,1.0,,,,,985.41,1017.79,30.85,W,,overcast,"{'sky_condition': 'overcast', 'height_agl': 700}",,,,29.8,
2023-12-31 23:15,74.0,KASW 010415Z AUTO 26003KT 10SM OVC007 00/M01 A3002 RMK AO2  T10031012,,10.0,30.02,31.46,700.0,93.63,29.84,260.0,3.0,1.0,,,,,985.74,1018.13,30.85,W,,overcast,"{'sky_condition': 'overcast', 'height_agl': 700}",,,,29.8,
2023-12-31 23:35,54.0,KASW 010435Z AUTO 00000KT 10SM OVC005 00/M01 A3003 RMK AO2  T10031011,,10.0,30.03,31.46,500.0,94.32,30.02,0.0,0.0,1.0,,,,,986.06,1018.47,30.92,N,,overcast,"{'sky_condition': 'overcast', 'height_agl': 500}",,,,30.0,
2023-12-31 23:55,54.0,KASW 010455Z AUTO 30004KT 10SM OVC005 00/M01 A3004 RMK AO2  T10021010,,10.0,30.04,31.64,500.0,94.33,30.2,300.0,4.0,1.0,,,,,986.39,1018.8,31.1,WNW,,overcast,"{'sky_condition': 'overcast', 'height_agl': 500}",,,,30.18,
