,Station,Layer1,Layer2,Layer3,Layer4
2024-03-15 18:00:00,112,29.8,36.4,41.9,42.9
2024-03-15 18:30:00,112,29.8,36.4,41.8,42.9
2024-03-15 19:00:00,112,29.7,36.5,41.6,42.9
2024-03-15 19:30:00,112,29.7,36.5,41.6,42.9
2024-03-15 20:00:00,112,29.6,36.5,41.6,42.9
2024-03-15 20:30:00,112,29.5,36.5,41.6,42.9
2024-03-15 21:00:00,112,29.4,36.5,41.5,42.9
2024-03-15 21:30:00,112,29.3,36.6,41.5,42.9
2024-03-15 22:00:00,112,29.2,36.5,41.4,42.8
2024-03-15 22:30:00,112,29.1,36.5,41.4,42.8
2024-03-15 23:00:00,112,29.0,36.5,41.4,42.8
2024-03-15 23:30:00,112,28.9,36.5,41.3,42.8
2024-03-16 00:00:00,112,28.8,36.4,41.3,42.8
2024-03-16 00:30:00,112,28.7,36.4,41.3,42.8
2024-03-16 01:00:00,112,28.6,36.3,41.2,42.8
2024-03-16 01:30:00,112,28.6,36.3,41.2,42.8
2024-03-16 02:00:00,112,28.5,36.3,41.2,42.8
2024-03-16 02:30:00,112,28.4,36.2,41.2,42.8
2024-03-16 03:00:00,112,28.3,36.2,41.2,42.8
2024-03-16 03:30:00,112,28.3,36.1,41.2,42.8
2024-03-16 04:00:00,112,28.2,36.1,41.2,42.8
2024-03-16 04:30:00,112,28.2,36.0,41.1,42.8
2024-03-16 05:00:00,112,28.2,36.0,41.1,42.8
2024-03-16 05:30:00,112,28.1,35.9,41.1,42.8
2024-03-16 06:00:00,112,28.2,35.9,41.1,42.8
2024-03-16 06:30:00,112,28.3,35.9,41.1,42.8
2024-03-16 07:00:00,112,28.3,35.9,41.1,42.8
2024-03-16 07:30:00,112,28.5,35.9,41.0,42.8
2024-03-16 08:00:00,112,28.6,35.8,41.0,42.8
2024-03-16 08:30:00,112,28.7,35.7,40.8,43.0
2024-03-16 09:00:00,112,28.7,35.7,40.8,43.0
2024-03-16 09:30:00,112,28.8,35.7,40.7,43.0
2024-03-16 10:00:00,112,28.8,35.8,40.6,43.0
2024-03-16 10:30:00,112,28.8,35.8,40.6,43.0
2024-03-16 11:00:00,112,28.8,36.0,40.6,43.0
2024-03-16 11:30:00,112,28.8,36.1,40.6,43.0
2024-03-16 12:00:00,112,28.8,36.1,40.5,43.0
2024-03-16 12:30:00,112,28.8,36.2,40.5,43.0
2024-03-16 13:00:00,112,28.4,36.2,40.5,43.0
2024-03-16 13:30:00,112,28.3,36.1,40.4,43.0
2024-03-16 14:00:00,112,28.3,36.1,40.4,43.0
2024-03-16 14:30:00,112,28.4,36.1,40.4,42.9
2024-03-16 15:00:00,112,28.5,36.1,40.4,42.9
2024-03-16 15:30:00,112,28.5,36.1,40.4,42.9
2024-03-16 16:00:00,112,28.6,36.1,40.3,42.9
2024-03-16 16:30:00,112,28.6,36.1,40.3,42.9
2024-03-16 17:00:00,112,28.6,36.1,40.3,42.9
2024-03-16 17:30:00,112,28.7,36.2,40.3,42.9
2024-03-16 18:00:00,112,28.7,36.2,40.3,42.8
2024-03-16 18:30:00,112,28.6,36.2,40.3,42.8
2024-03-16 19:00:00,112,28.6,36.3,40.3,42.8
2024-03-16 19:30:00,112,28.5,36.3,40.2,42.8
2024-03-16 20:00:00,112,28.4,36.3,40.2,42.8
2024-03-16 20:30:00,112,,,,
2024-03-16 21:00:00,112,28.3,36.3,40.2,42.8
2024-03-16 21:30:00,112,28.2,36.3,40.2,42.8
2024-03-16 22:00:00,112,28.1,36.3,40.2,42.8
2024-03-16 22:30:00,112,28.0,36.3,40.2,42.8
2024-03-16 23:00:00,112,27.9,36.3,40.2,42.8
2024-03-16 23:30:00,112,27.8,36.3,40.2,42.7
2024-03-17 00:00:00,112,27.7,36.2,40.2,42.8
2024-03-17 00:30:00,112,27.6,36.2,40.2,42.8
2024-03-17 01:00:00,112,27.5,36.2,40.2,42.8
2024-03-17 01:30:00,112,27.4,36.1,40.2,42.8
2024-03-17 02:00:00,112,27.3,36.1,40.2,42.8
2024-03-17 02:30:00,112,27.2,36.0,40.2,42.8
2024-03-17 03:00:00,112,27.1,35.9,40.2,42.8
2024-03-17 03:30:00,112,27.0,35.8,40.2,42.8
2024-03-17 04:00:00,112,26.9,35.8,40.2,42.8
2024-03-17 04:30:00,112,26.8,35.7,40.2,42.8
2024-03-17 05:00:00,112,26.8,35.6,40.2,42.8
2024-03-17 05:30:00,112,26.7,35.6,40.2,42.8
2024-03-17 06:00:00,112,26.6,35.5,40.2,42.8
2024-03-17 06:30:00,112,26.5,35.4,40.2,42.8
2024-03-17 07:00:00,112,26.5,35.4,40.2,42.8
2024-03-17 07:30:00,112,26.4,35.3,40.2,42.8
2024-03-17 08:00:00,112,26.4,35.3,40.2,42.8
2024-03-17 08:30:00,112,26.3,35.2,40.2,42.8
2024-03-17 09:00:00,112,26.3,35.1,40.2,42.8
2024-03-17 09:30:00,112,26.2,35.1,40.1,42.8
2024-03-17 10:00:00,112,26.1,35.0,40.1,42.8
2024-03-17 10:30:00,112,26.1,34.9,40.1,42.8
2024-03-17 11:00:00,112,26.0,34.9,40.1,42.8
2024-03-17 11:30:00,112,26.0,34.8,40.1,42.8
2024-03-17 12:00:00,112,25.9,34.8,40.1,42.8
2024-03-17 12:30:00,112,25.9,34.7,40.1,42.8
2024-03-17 13:00:00,112,25.9,34.7,40.0,42.7
2024-03-17 13:30:00,112,25.9,34.6,40.0,42.7
2024-03-17 14:00:00,112,25.9,34.6,40.0,42.7
2024-03-17 14:30:00,112,26.0,34.6,40.0,42.7
2024-03-17 15:00:00,112,26.0,34.5,40.0,42.7
2024-03-17 15:30:00,112,26.0,34.5,39.9,42.7
2024-03-17 16:00:00,112,26.1,34.5,39.9,42.7
2024-03-17 16:30:00,112,26.2,34.5,39.9,42.7
2024-03-17 17:00:00,112,26.2,34.6,39.9,42.6
2024-03-17 17:30:00,112,26.3,34.6,39.9,42.6
2024-03-17 18:00:00,112,,,,
2024-03-17 18:30:00,112,26.3,34.6,39.8,42.6
2024-03-17 19:00:00,112,26.3,34.7,39.8,42.6
2024-03-17 19:30:00,112,26.2,34.7,39.8,42.6
2024-03-17 20:00:00,112,26.2,34.7,39.8,42.6
2024-03-17 20:30:00,112,26.1,34.7,39.8,42.5
2024-03-17 21:00:00,112,26.0,34.7,39.8,42.5
2024-03-17 21:30:00,112,26.0,34.7,39.8,42.5
2024-03-17 22:00:00,112,25.9,34.7,39.8,42.5
2024-03-17 22:30:00,112,25.8,34.7,39.8,42.5
2024-03-17 23:00:00,112,25.7,34.7,39.8,42.5
2024-03-17 23:30:00,112,25.6,34.7,39.8,42.5
2024-03-18 00:00:00,112,25.5,34.7,39.8,42.5
2024-03-18 00:30:00,112,25.5,34.6,39.8,42.5
2024-03-18 01:00:00,112,25.4,34.6,39.8,42.5
2024-03-18 01:30:00,112,25.3,34.6,39.7,42.5
2024-03-18 02:00:00,112,25.3,34.5,39.8,42.5
2024-03-18 02:30:00,112,25.2,34.5,39.7,42.5
2024-03-18 03:00:00,112,25.1,34.5,39.8,42.5
2024-03-18 03:30:00,112,25.1,34.4,39.7,42.5
2024-03-18 04:00:00,112,25.0,34.3,39.7,42.5
2024-03-18 04:30:00,112,25.0,34.3,39.7,42.5
2024-03-18 05:00:00,112,25.0,34.3,39.7,42.5
2024-03-18 05:30:00,112,25.0,34.2,39.7,42.5
2024-03-18 06:00:00,112,24.9,34.2,39.7,42.5
2024-03-18 06:30:00,112,24.9,34.1,39.7,42.5
2024-03-18 07:00:00,112,24.8,34.1,39.7,42.5
2024-03-18 07:30:00,112,24.8,34.1,39.7,42.5
2024-03-18 08:00:00,112,24.7,34.0,39.7,42.5
2024-03-18 08:30:00,112,24.7,34.0,39.6,42.5
2024-03-18 09:00:00,112,,,,
2024-03-18 09:30:00,112,24.6,33.9,39.6,42.5
2024-03-18 10:00:00,112,,,,
2024-03-18 10:30:00,112,24.6,33.9,39.6,42.5
2024-03-18 11:00:00,112,24.5,33.8,39.6,42.4
2024-03-18 11:30:00,112,24.5,33.8,39.5,42.4
2024-03-18 12:00:00,112,24.5,33.8,39.5,42.4
2024-03-18 12:30:00,112,24.4,33.7,39.5,42.4
2024-03-18 13:00:00,112,24.4,33.7,39.5,42.4
2024-03-18 13:30:00,112,24.4,33.7,39.5,42.4
2024-03-18 14:00:00,112,24.4,33.6,39.4,42.4
2024-03-18 14:30:00,112,24.4,33.6,39.4,42.4
2024-03-18 15:00:00,112,24.5,33.6,39.4,42.4
2024-03-18 15:30:00,112,24.5,33.6,39.4,42.4
2024-03-18 16:00:00,112,24.5,33.6,39.4,42.4
2024-03-18 16:30:00,112,24.5,33.6,39.3,42.4
2024-03-18 17:00:00,112,24.5,33.6,39.3,42.4
2024-03-18 17:30:00,112,24.5,33.6,39.3,42.4
2024-03-18 18:00:00,112,24.5,33.6,39.3,42.3
2024-03-18 18:30:00,112,24.5,33.7,39.3,42.3
2024-03-18 19:00:00,112,24.5,33.7,39.2,42.3
2024-03-18 19:30:00,112,24.6,33.7,39.2,42.3
2024-03-18 20:00:00,112,24.6,33.7,39.2,42.3
2024-03-18 20:30:00,112,,,,
2024-03-18 21:00:00,112,24.5,33.7,39.2,42.3
2024-03-18 21:30:00,112,24.4,33.7,39.2,42.3
