,Timestamp,Entity Name,soil_moisture1,soil_moisture2,soil_moisture3,soil_moisture4,soil_temp1,soil_temp2,soil_temp3,soil_temp4,soil_temp5,soil_temp6,soil_temp7,Sensor,d1,d2,d3,d4,Deficit
111,2023-09-19 00:27:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0111,20.9,29.1,29.8,27.6,16.5,17.0,17.0,17.5,17.5,17.5,18.5,111,10.400000000000002,10.799999999999997,9.2,8.699999999999996,2.3459999999999996
112,2023-09-19 00:27:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,30.1,32.2,34.0,30.0,16.0,16.0,17.5,16.5,17.0,17.5,17.5,112,7.699999999999996,11.199999999999996,9.5,14.299999999999997,2.5619999999999994
113,2023-09-19 00:27:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0113,27.6,35.7,31.2,28.1,15.0,15.5,16.5,16.0,17.5,16.5,17.0,113,5.600000000000001,4.699999999999996,6.0000000000000036,4.0,1.2180000000000002
114,2023-09-18 23:57:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0114,29.9,37.0,33.9,35.9,16.5,16.0,17.0,16.5,17.5,17.0,18.0,114,7.5,8.0,9.0,7.300000000000004,1.9080000000000001
115,2023-09-19 00:17:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0115,19.0,24.9,32.8,43.3,14.0,15.0,16.5,16.5,16.0,17.0,17.0,115,4.100000000000001,10.899999999999999,7.0,4.5,1.59
116,2023-09-19 00:27:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0116,33.7,42.7,49.8,53.3,15.0,16.0,15.5,16.5,16.5,16.5,17.0,116,12.099999999999994,8.699999999999996,4.400000000000006,3.700000000000003,1.734
118,2023-09-19 00:27:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0118,13.4,19.2,26.0,32.2,15.0,16.5,17.0,18.5,15.5,17.0,17.5,118,1.6999999999999993,18.3,11.100000000000001,7.799999999999997,2.334
554,2023-09-19 00:12:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0554,27.7,33.4,37.5,44.1,15.5,18.0,18.5,19.0,18.0,18.0,19.5,554,13.7,13.200000000000003,10.399999999999999,3.299999999999997,2.436
557,2023-09-19 00:22:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0557,22.2,17.8,26.3,29.3,-1567.8,0.0,0.0,0.0,0.0,0.0,0.0,557,5.300000000000001,17.499999999999996,11.7,10.599999999999998,2.7059999999999995
558,2023-09-19 00:22:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0558,33.7,43.4,47.8,45.8,-1567.8,0.0,0.0,0.0,0.0,0.0,0.0,558,3.1999999999999957,0.7000000000000028,0.30000000000000426,0.20000000000000284,0.26400000000000035
629,2023-09-18 23:52:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0629,7.6,36.4,46.3,46.5,-1567.8,0.0,0.0,0.0,0.0,0.0,0.0,629,29.299999999999997,8.5,1.8000000000000043,0.0,2.3760000000000003
630,2023-09-19 00:22:30,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0630,19.9,35.5,28.3,25.0,15.5,17.0,16.5,16.5,17.5,18.0,18.0,630,6.800000000000001,4.799999999999997,2.1999999999999993,0.3000000000000007,0.846
