ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4,data_tem1,data_tem2,data_tem3,data_tem4,data_tem5,data_tem6,data_tem7,dev_eui
2023-10-15 00:20:07.945,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0630,26,37.6,29.1,25,12,13.5,13,13.5,14.5,15,15,a84041b3f1882916
2023-10-15 00:21:16.611,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0554,39.1,42.7,44.8,44.5,12,14,14.5,16,14.5,14.5,16.5,a8404185a187c722
2023-10-15 00:24:00.162,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0114,37.5,42.9,39.1,39,14,13.5,13.5,13.5,14.5,14.5,15.5,a84041124184c7ca
2023-10-15 00:28:39.643,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0111,34.3,35.4,31.6,29.1,13,13.5,14,14,14.5,14.5,15.5,a840419db184c7c7
2023-10-15 00:28:55.776,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0118,22,25.7,29.7,34.7,13,13.5,13.5,15.5,13,15,15,a84041735184c7ce
2023-10-15 00:50:07.691,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0630,26,37.6,29.1,25,12,13.5,13,13.5,14.5,15,15,a84041b3f1882916
2023-10-15 00:51:16.359,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0554,39.1,42.7,44.7,44.5,12,14,14,16,14.5,14.5,16.5,a8404185a187c722
2023-10-15 00:54:00.185,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0114,37.5,42.9,39.1,39,14,13.5,13.5,13.5,14.5,14.5,15.5,a84041124184c7ca
2023-10-15 00:58:39.594,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0111,34.3,35.3,31.6,29.1,13,13.5,14,14,14.5,14.5,15.5,a840419db184c7c7
2023-10-15 00:58:55.053,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0118,22,25.7,29.7,34.6,12.5,13.5,14,15.5,13,15,15,a84041735184c7ce
2023-10-15 01:20:06.370,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0630,26,37.5,29.1,25,12,13.5,13.5,13.5,14.5,15,15,a84041b3f1882916
2023-10-15 01:21:16.311,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0554,39,42.7,44.7,44.5,12,14,14,15.5,14.5,14.5,16.5,a8404185a187c722
2023-10-15 01:28:39.581,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0111,34.2,35.3,31.6,29.1,13,13.5,14,14,14.5,14.5,16,a840419db184c7c7
2023-10-15 01:28:54.786,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0118,21.9,25.6,29.6,34.6,12.5,13.5,13.5,15.5,13,15,15,a84041735184c7ce
2023-10-15 01:50:07.196,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0630,26,37.5,29.1,25,12,13.5,13.5,13.5,14.5,15,15,a84041b3f1882916
2023-10-15 01:51:17.762,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0554,39,42.7,44.7,44.5,12,14,14,15.5,14.5,14.5,16.5,a8404185a187c722
2023-10-15 01:53:59.933,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0114,,Invalid data,,,13.5,13,13.5,13.5,14.5,14.5,15.5,a84041124184c7ca
2023-10-15 01:58:39.537,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0111,34.2,35.2,31.6,29.1,13,13.5,14,14,14.5,14.5,15.5,a840419db184c7c7
2023-10-15 01:58:55.544,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0118,21.8,25.6,29.6,34.6,12.5,13.5,13.5,15.5,13,15,15,a84041735184c7ce
