Date,Station,Crop,Rootdpth,Deficit,sm_val1,sm_val2,sm_val3,sm_val4,fc_date,fc_val1,fc_val2,fc_val3,fc_val4
2024-06-18 00:00:00,0111,Soybean,194.4762,43.37,20.3,29.5,30.0,27.9,2024-06-16,27.6,29.4,45.6,51.7
2024-06-18 00:00:00,0112,Soybean,194.4762,35.08,26.4,29.3,33.5,29.8,2024-05-29,29.6,33.0,43.6,49.1
2024-06-18 00:00:00,0113,Soybean,194.4762,6.22,28.2,36.8,32.6,28.5,2023-08-08,37.9,42.2,35.9,31.4
2024-06-18 00:00:00,0114,Soybean,194.4762,14.39,29.3,35.4,34.2,36.0,2023-08-19,37.28,45.0,42.96,43.26
2024-06-18 00:00:00,0115,Soybean,194.4762,13.0,19.3,25.0,32.6,43.0,2023-08-11,33.2,37.5,40.5,49.2
2024-06-18 00:00:00,0554,Corn,201.1429,2.8,26.9,33.7,37.8,44.0,2024-06-06,32.8,47.7,46.3,44.6
2024-06-18 00:00:00,0556,Corn,201.1429,-15.74,26.5,30.7,36.7,45.8,2024-06-02,20.8,30.2,30.9,37.6
2024-06-18 00:00:00,0557,Corn,201.1429,12.37,23.2,19.3,27.5,31.2,2023-08-27,27.6,28.2,34.1,37.3
2024-06-18 00:00:00,0558,Corn,201.1429,-32.63,33.2,43.9,48.2,45.8,2024-06-02,22.95,37.8,30.5,29.1
2024-06-18 00:00:00,0629,Corn,201.1429,18.42,8.5,37.7,47.0,47.0,2024-05-30,27.4,30.2,46.6,56.7
2024-06-18 00:00:00,0630,Corn,201.1429,32.14,19.7,35.7,28.5,25.1,2024-05-29,32.5,26.9,41.3,42.1
