,Station,Layer1,Layer2,Layer3,Layer4
2023-04-01 00:00:00,111,37.266666666666666,46.79999999999999,47.1,48.79999999999999
2023-04-01 00:30:00,111,36.800000000000004,46.79999999999999,47.1,48.9
2023-04-01 01:00:00,111,36.26666666666667,46.79999999999999,47.1,48.9
2023-04-01 01:30:00,111,35.9,46.79999999999999,47.1,48.9
2023-04-01 02:00:00,111,35.699999999999996,46.79999999999999,47.1,48.9
2023-04-01 02:30:00,111,35.6,46.79999999999999,47.1,48.9
2023-04-01 03:00:00,111,35.266666666666666,46.79999999999999,47.1,48.9
2023-04-01 03:30:00,111,34.86666666666667,46.79999999999999,47.1,48.9
2023-04-01 04:00:00,111,34.4,46.76666666666667,47.1,48.9
2023-04-01 04:30:00,111,34.1,46.70000000000001,47.1,48.9
2023-04-01 05:00:00,111,33.8,46.7,47.1,48.9
2023-04-01 05:30:00,111,33.6,46.70000000000001,47.1,48.9
2023-04-01 06:00:00,111,33.333333333333336,46.6,47.1,48.9
2023-04-01 06:30:00,111,32.93333333333334,46.6,47.1,48.9
2023-04-01 07:00:00,111,32.43333333333333,46.6,47.1,48.9
2023-04-01 07:30:00,111,32.0,46.56666666666666,47.06666666666666,48.9
2023-04-01 08:00:00,111,31.5,46.5,47.0,48.9
2023-04-01 08:30:00,111,31.099999999999998,46.5,47.0,48.9
2023-04-01 09:00:00,111,30.833333333333332,46.5,47.06666666666666,48.9
2023-04-01 09:30:00,111,30.5,46.5,47.1,48.9
2023-04-01 10:00:00,111,30.299999999999997,46.5,47.1,48.9
2023-04-01 10:30:00,111,30.05,46.5,47.150000000000006,48.9
2023-04-01 11:00:00,111,29.8,46.5,47.2,48.9
2023-04-01 11:30:00,111,29.8,46.5,47.2,48.9
2023-04-01 12:00:00,111,,,,
2023-04-01 12:30:00,111,,,,
2023-04-01 13:00:00,111,29.3,46.4,47.2,49.0
2023-04-01 13:30:00,111,29.1,46.4,47.2,49.0
2023-04-01 14:00:00,111,,,,
