ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4,data_tem1,data_tem2,data_tem3,data_tem4,data_tem5,data_tem6,data_tem7,dev_eui
2024-03-14 18:09:00.261,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,36.0,40.6,43.3,42.9,15.0,11.5,11.5,10.5,9.0,9.0,8.5,a840415b7184c7c8
2024-03-14 18:39:00.437,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,35.2,40.7,43.3,42.9,16.0,12.0,11.5,10.5,9.0,9.0,8.5,a840415b7184c7c8
2024-03-14 19:39:00.175,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,33.7,40.8,43.4,42.9,16.0,12.5,11.5,10.5,9.0,9.0,8.5,a840415b7184c7c8
2024-03-14 20:09:00.166,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,33.3,40.8,43.4,42.9,16.0,13.0,12.0,10.5,9.0,9.0,8.5,a840415b7184c7c8
2024-03-14 20:39:00.139,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,33.0,40.7,43.4,42.9,16.0,13.0,12.0,10.5,9.0,9.0,9.0,a840415b7184c7c8
2024-03-14 21:09:00.094,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,32.7,40.2,43.4,42.9,15.5,13.0,12.0,10.5,9.0,9.0,9.0,a840415b7184c7c8
2024-03-14 21:39:00.050,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,32.5,40.2,44.2,42.9,15.5,13.5,12.0,10.5,9.0,9.0,9.0,a840415b7184c7c8
2024-03-14 22:09:00.048,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,32.4,40.4,44.5,42.9,15.0,13.5,12.5,11.0,9.0,9.0,9.0,a840415b7184c7c8
2024-03-14 22:39:00.035,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,32.3,40.5,44.7,42.9,15.0,13.0,12.5,11.0,9.0,9.0,9.0,a840415b7184c7c8
2024-03-14 23:08:59.995,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,32.3,40.3,44.7,42.9,14.5,13.5,12.5,11.0,9.0,9.0,9.0,a840415b7184c7c8
2024-03-15 00:08:59.911,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,32.2,39.9,44.6,42.9,14.0,13.0,12.5,11.0,9.0,9.0,9.0,a840415b7184c7c8
2024-03-15 00:39:00.127,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,32.1,39.6,44.6,42.9,13.5,13.0,12.5,11.0,9.0,9.0,9.0,a840415b7184c7c8
2024-03-15 01:08:59.924,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,32.0,39.4,44.6,42.9,13.0,13.0,12.5,11.0,9.0,9.0,9.0,a840415b7184c7c8
2024-03-15 01:38:59.905,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,31.9,39.2,44.6,42.9,12.0,12.5,12.5,11.0,9.0,9.0,9.0,a840415b7184c7c8
2024-03-15 02:08:59.367,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,31.8,39.0,44.6,42.9,12.0,12.5,12.5,11.0,9.0,9.0,9.0,a840415b7184c7c8
2024-03-15 02:38:59.601,ABE-DRAGINO-GROPOINT-CHERKHAUER-ACRE-0112,31.7,38.7,44.6,42.9,11.5,12.5,12.5,11.5,9.0,9.0,9.0,a840415b7184c7c8
