Time (LST),AVG_WS (mph),precip (mm),SUM_SR (W/m²),AVG_Temp (°F),AVG_RH (%),Saturation Vapor Pressure (kPa),Vapor Pressure (mb)
2024-04-14,10.105,0.0,155.931,23.488,52.257,2.893,15.12
2024-04-15,6.136,0.0,315.399,18.791,57.264,2.169,12.42
2024-04-16,10.407,0.508,215.34,20.799,48.826,2.456,11.994
2024-04-17,14.351,1.016,165.201,18.049,67.556,2.07,13.986
2024-04-18,6.2,11.176,193.351,14.536,67.653,1.655,11.197
2024-04-19,11.258,0.0,236.233,9.959,66.788,1.225,8.179
2024-04-20,11.197,0.0,254.115,6.138,54.451,0.944,5.141
2024-04-21,6.811,0.0,319.573,6.708,52.615,0.982,5.166
2024-04-22,6.877,0.0,305.608,10.944,49.003,1.308,6.409
2024-04-23,9.746,30.48,45.944,10.964,76.163,1.31,9.974
2024-04-24,9.53,0.0,203.729,6.13,80.792,0.944,7.623
2024-04-25,6.29,0.0,326.257,7.571,68.062,1.042,7.091
2024-04-26,9.035,6.35,143.267,12.354,69.215,1.436,9.937
2024-04-27,11.339,6.35,212.122,20.027,76.663,2.342,17.956
2024-04-28,11.555,0.508,218.309,21.572,67.667,2.576,17.43
2024-04-29,7.533,6.604,71.198,17.622,85.497,2.015,17.231
2024-04-30,4.429,0.0,340.66,17.814,69.132,2.04,14.103
2024-05-01,7.044,0.0,323.903,19.844,58.556,2.316,13.561
2024-05-02,6.489,0.0,286.948,21.924,56.288,2.632,14.813
2024-05-03,6.691,0.508,237.208,19.632,72.934,2.286,16.67
2024-05-04,4.425,0.762,314.306,20.784,65.264,2.454,16.017
2024-05-05,6.883,0.0,290.958,16.273,72.087,1.85,13.338
2024-05-06,7.738,0.0,267.549,18.07,69.462,2.073,14.4
2024-05-07,8.642,3.81,211.292,20.55,69.844,2.419,16.896
2024-05-08,4.164,0.0,245.132,20.697,59.587,2.441,14.546
2024-05-09,7.975,5.588,51.424,14.879,89.097,1.692,15.077
2024-05-10,5.952,0.0,258.552,14.153,72.587,1.615,11.719
2024-05-11,11.432,1.016,335.552,16.203,57.361,1.842,10.566
2024-05-12,5.647,0.0,347.788,18.754,53.306,2.164,11.535
2024-05-13,7.206,0.0,245.983,20.6,57.701,2.427,14.001
2024-05-14,4.865,0.0,140.707,17.956,80.293,2.058,16.527
